dataset,scene,sh_degree,lambda_dssim,percent_dense,scale_pos_scale_lr,scale_feat_opacity_lr,psnr,ssim,lpips,npt,size
nerf_synthetic,ship,2,0.2,0.007,3.000000,3.000000,30.56,0.000,0.000,254428,39.8
nerf_synthetic,ship,2,0.2,0.007,3.000000,0.500000,30.33,0.000,0.000,560667,87.7
nerf_synthetic,ship,2,0.2,0.007,3.000000,0.300000,30.08,0.000,0.000,565939,88.5
nerf_synthetic,ship,2,0.2,0.007,4.000000,1.000000,30.35,0.000,0.000,535316,83.7
nerf_synthetic,ship,2,0.2,0.007,4.000000,2.000000,30.54,0.000,0.000,372606,58.3
nerf_synthetic,ship,2,0.2,0.007,4.000000,3.000000,30.44,0.000,0.000,247520,38.7
nerf_synthetic,ship,2,0.2,0.007,4.000000,0.500000,30.13,0.000,0.000,578910,90.5
nerf_synthetic,ship,2,0.2,0.007,4.000000,0.300000,29.87,0.000,0.000,593978,92.9
nerf_synthetic,ship,2,0.2,0.007,0.500000,1.000000,30.39,0.000,0.000,271699,42.5
nerf_synthetic,ship,2,0.2,0.007,0.500000,2.000000,30.05,0.000,0.000,238155,37.2
nerf_synthetic,ship,2,0.2,0.007,0.500000,3.000000,29.69,0.000,0.000,148216,23.2
nerf_synthetic,ship,2,0.2,0.007,0.500000,0.500000,30.29,0.000,0.000,229380,35.9
nerf_synthetic,ship,2,0.2,0.007,0.500000,0.300000,30.21,0.000,0.000,195285,30.5
nerf_synthetic,ship,2,0.2,0.007,0.300000,1.000000,30.31,0.000,0.000,215618,33.7
nerf_synthetic,ship,2,0.2,0.007,0.300000,2.000000,29.81,0.000,0.000,199236,31.2
nerf_synthetic,ship,2,0.2,0.007,0.300000,3.000000,29.36,0.000,0.000,120734,18.9
nerf_synthetic,ship,2,0.2,0.007,0.300000,0.500000,30.01,0.000,0.000,171492,26.8
nerf_synthetic,ship,2,0.2,0.007,0.300000,0.300000,29.67,0.000,0.000,146087,22.8
nerf_synthetic,ship,2,0.2,0.005,1.000000,1.000000,30.68,0.000,0.000,390233,61.0
nerf_synthetic,ship,2,0.2,0.005,1.000000,2.000000,30.65,0.000,0.000,315902,49.4
nerf_synthetic,ship,2,0.2,0.005,1.000000,3.000000,30.44,0.000,0.000,206996,32.4
nerf_synthetic,ship,2,0.2,0.005,1.000000,0.500000,30.56,0.000,0.000,363542,56.9
nerf_synthetic,ship,2,0.2,0.005,1.000000,0.300000,30.43,0.000,0.000,320700,50.2
nerf_synthetic,ship,2,0.2,0.005,2.000000,1.000000,30.61,0.000,0.000,500230,78.2
nerf_synthetic,ship,2,0.2,0.005,2.000000,2.000000,30.76,0.000,0.000,378607,59.2
nerf_synthetic,ship,2,0.2,0.005,2.000000,3.000000,30.71,0.000,0.000,261231,40.9
nerf_synthetic,ship,2,0.2,0.005,2.000000,0.500000,30.49,0.000,0.000,510716,79.9
nerf_synthetic,ship,2,0.2,0.005,2.000000,0.300000,30.25,0.000,0.000,490159,76.7
nerf_synthetic,ship,2,0.2,0.005,3.000000,1.000000,30.46,0.000,0.000,534578,83.6
nerf_synthetic,ship,2,0.2,0.005,3.000000,2.000000,30.68,0.000,0.000,386851,60.5
nerf_synthetic,ship,2,0.2,0.005,3.000000,3.000000,30.53,0.000,0.000,266751,41.7
nerf_synthetic,ship,2,0.2,0.005,3.000000,0.500000,30.30,0.000,0.000,571723,89.4
nerf_synthetic,ship,2,0.2,0.005,3.000000,0.300000,30.05,0.000,0.000,573581,89.7
nerf_synthetic,ship,2,0.2,0.005,4.000000,1.000000,30.36,0.000,0.000,536564,83.9
nerf_synthetic,ship,2,0.2,0.005,4.000000,2.000000,30.56,0.000,0.000,369960,57.9
nerf_synthetic,ship,2,0.2,0.005,4.000000,3.000000,30.40,0.000,0.000,257216,40.2
nerf_synthetic,ship,2,0.2,0.005,4.000000,0.500000,30.09,0.000,0.000,581621,91.0
nerf_synthetic,ship,2,0.2,0.005,4.000000,0.300000,29.85,0.000,0.000,595079,93.1
nerf_synthetic,ship,2,0.2,0.005,0.500000,1.000000,30.41,0.000,0.000,292085,45.7
nerf_synthetic,ship,2,0.2,0.005,0.500000,2.000000,30.08,0.000,0.000,254312,39.8
nerf_synthetic,ship,2,0.2,0.005,0.500000,3.000000,29.74,0.000,0.000,160525,25.1
nerf_synthetic,ship,2,0.2,0.005,0.500000,0.500000,30.33,0.000,0.000,241227,37.7
nerf_synthetic,ship,2,0.2,0.005,0.500000,0.300000,30.15,0.000,0.000,204071,31.9
nerf_synthetic,ship,2,0.2,0.005,0.300000,1.000000,30.31,0.000,0.000,234362,36.7
nerf_synthetic,ship,2,0.2,0.005,0.300000,2.000000,30.01,0.000,0.000,206309,32.3
nerf_synthetic,ship,2,0.2,0.005,0.300000,3.000000,29.68,0.000,0.000,127846,20.0
nerf_synthetic,ship,2,0.2,0.005,0.300000,0.500000,30.02,0.000,0.000,182230,28.5
nerf_synthetic,ship,2,0.2,0.005,0.300000,0.300000,29.73,0.000,0.000,153719,24.0
nerf_synthetic,ship,2,0.2,0.0025,1.000000,1.000000,30.64,0.000,0.000,410145,64.1
nerf_synthetic,ship,2,0.2,0.0025,1.000000,2.000000,30.62,0.000,0.000,338833,53.0
nerf_synthetic,ship,2,0.2,0.0025,1.000000,3.000000,30.48,0.000,0.000,232223,36.3
nerf_synthetic,ship,2,0.2,0.0025,1.000000,0.500000,30.60,0.000,0.000,374953,58.6
nerf_synthetic,ship,2,0.2,0.0025,1.000000,0.300000,30.42,0.000,0.000,323498,50.6
nerf_synthetic,ship,2,0.2,0.0025,2.000000,1.000000,30.62,0.000,0.000,496144,77.6
nerf_synthetic,ship,2,0.2,0.0025,2.000000,2.000000,30.74,0.000,0.000,377298,59.0
nerf_synthetic,ship,2,0.2,0.0025,2.000000,3.000000,30.68,0.000,0.000,272020,42.5
nerf_synthetic,ship,2,0.2,0.0025,2.000000,0.500000,30.38,0.000,0.000,500980,78.4
nerf_synthetic,ship,2,0.2,0.0025,2.000000,0.300000,30.23,0.000,0.000,478413,74.8
nerf_synthetic,ship,2,0.2,0.0025,3.000000,1.000000,30.44,0.000,0.000,510811,79.9
nerf_synthetic,ship,2,0.2,0.0025,3.000000,2.000000,31.00,0.000,0.000,365743,57.2
nerf_synthetic,ship,2,0.2,0.0025,3.000000,3.000000,30.60,0.000,0.000,270510,42.3
nerf_synthetic,ship,2,0.2,0.0025,3.000000,0.500000,30.24,0.000,0.000,547422,85.6
nerf_synthetic,ship,2,0.2,0.0025,3.000000,0.300000,29.98,0.000,0.000,549202,85.9
nerf_synthetic,ship,2,0.2,0.0025,4.000000,1.000000,30.34,0.000,0.000,503777,78.8
nerf_synthetic,ship,2,0.2,0.0025,4.000000,2.000000,30.55,0.000,0.000,352120,55.1
nerf_synthetic,ship,2,0.2,0.0025,4.000000,3.000000,30.04,0.000,0.000,265715,41.6
nerf_synthetic,ship,2,0.2,0.0025,4.000000,0.500000,30.04,0.000,0.000,550003,86.0
nerf_synthetic,ship,2,0.2,0.0025,4.000000,0.300000,29.80,0.000,0.000,558505,87.4
nerf_synthetic,ship,2,0.2,0.0025,0.500000,1.000000,30.46,0.000,0.000,316584,49.5
nerf_synthetic,ship,2,0.2,0.0025,0.500000,2.000000,30.01,0.000,0.000,278720,43.6
nerf_synthetic,ship,2,0.2,0.0025,0.500000,3.000000,29.92,0.000,0.000,177235,27.7
nerf_synthetic,ship,2,0.2,0.0025,0.500000,0.500000,30.40,0.000,0.000,251358,39.3
nerf_synthetic,ship,2,0.2,0.0025,0.500000,0.300000,30.18,0.000,0.000,206935,32.4
nerf_synthetic,ship,2,0.2,0.0025,0.300000,1.000000,30.34,0.000,0.000,257986,40.4
nerf_synthetic,ship,2,0.2,0.0025,0.300000,2.000000,30.10,0.000,0.000,226481,35.4
nerf_synthetic,ship,2,0.2,0.0025,0.300000,3.000000,29.82,0.000,0.000,144328,22.6
nerf_synthetic,ship,2,0.2,0.0025,0.300000,0.500000,30.07,0.000,0.000,197445,30.9
nerf_synthetic,ship,2,0.2,0.0025,0.300000,0.300000,29.71,0.000,0.000,162471,25.4
nerf_synthetic,ship,2,0.5,0.01,1.000000,1.000000,30.62,0.000,0.000,570998,89.3
nerf_synthetic,ship,2,0.5,0.01,1.000000,2.000000,30.55,0.000,0.000,442055,69.1
nerf_synthetic,ship,2,0.5,0.01,1.000000,3.000000,30.22,0.000,0.000,260163,40.7
nerf_synthetic,ship,2,0.5,0.01,1.000000,0.500000,30.57,0.000,0.000,608233,95.1
nerf_synthetic,ship,2,0.5,0.01,1.000000,0.300000,30.30,0.000,0.000,600434,93.9
nerf_synthetic,ship,2,0.5,0.01,2.000000,1.000000,30.52,0.000,0.000,745646,116.6
nerf_synthetic,ship,2,0.5,0.01,2.000000,2.000000,30.71,0.000,0.000,515119,80.6
nerf_synthetic,ship,2,0.5,0.01,2.000000,3.000000,30.60,0.000,0.000,310142,48.5
nerf_synthetic,ship,2,0.5,0.01,2.000000,0.500000,30.33,0.000,0.000,861951,134.8
nerf_synthetic,ship,2,0.5,0.01,2.000000,0.300000,30.09,0.000,0.000,925903,144.8
nerf_synthetic,ship,2,0.5,0.01,3.000000,1.000000,30.37,0.000,0.000,834076,130.5
nerf_synthetic,ship,2,0.5,0.01,3.000000,2.000000,30.56,0.000,0.000,538043,84.2
nerf_synthetic,ship,2,0.5,0.01,3.000000,3.000000,30.31,0.000,0.000,324596,50.8
nerf_synthetic,ship,2,0.5,0.01,3.000000,0.500000,30.11,0.000,0.000,995548,155.7
nerf_synthetic,ship,2,0.5,0.01,3.000000,0.300000,29.83,0.000,0.000,1105954,173.0
nerf_synthetic,ship,2,0.5,0.01,4.000000,1.000000,30.20,0.000,0.000,850928,133.1
nerf_synthetic,ship,2,0.5,0.01,4.000000,2.000000,30.45,0.000,0.000,526413,82.3
nerf_synthetic,ship,2,0.5,0.01,4.000000,3.000000,25.40,0.000,0.000,398524,62.3
nerf_synthetic,ship,2,0.5,0.01,4.000000,0.500000,29.95,0.000,0.000,1032681,161.5
nerf_synthetic,ship,2,0.5,0.01,4.000000,0.300000,29.73,0.000,0.000,1169257,182.9
nerf_synthetic,ship,2,0.5,0.01,0.500000,1.000000,30.55,0.000,0.000,448129,70.1
nerf_synthetic,ship,2,0.5,0.01,0.500000,2.000000,29.62,0.000,0.000,367182,57.4
nerf_synthetic,ship,2,0.5,0.01,0.500000,3.000000,29.39,0.000,0.000,213313,33.4
nerf_synthetic,ship,2,0.5,0.01,0.500000,0.500000,30.43,0.000,0.000,399804,62.5
nerf_synthetic,ship,2,0.5,0.01,0.500000,0.300000,30.14,0.000,0.000,366823,57.4
nerf_synthetic,ship,2,0.5,0.01,0.300000,1.000000,30.44,0.000,0.000,351319,54.9
nerf_synthetic,ship,2,0.5,0.01,0.300000,2.000000,29.43,0.000,0.000,298996,46.8
nerf_synthetic,ship,2,0.5,0.01,0.300000,3.000000,28.60,0.000,0.000,179441,28.1
nerf_synthetic,ship,2,0.5,0.01,0.300000,0.500000,30.26,0.000,0.000,303098,47.4
nerf_synthetic,ship,2,0.5,0.01,0.300000,0.300000,29.94,0.000,0.000,264754,41.4
nerf_synthetic,ship,2,0.5,0.015,1.000000,1.000000,30.67,0.000,0.000,559617,87.5
nerf_synthetic,ship,2,0.5,0.015,1.000000,2.000000,30.50,0.000,0.000,432589,67.7
nerf_synthetic,ship,2,0.5,0.015,1.000000,3.000000,30.15,0.000,0.000,247210,38.7
nerf_synthetic,ship,2,0.5,0.015,1.000000,0.500000,30.59,0.000,0.000,580198,90.7
nerf_synthetic,ship,2,0.5,0.015,1.000000,0.300000,30.43,0.000,0.000,573084,89.6
nerf_synthetic,ship,2,0.5,0.015,2.000000,1.000000,30.56,0.000,0.000,715816,112.0
nerf_synthetic,ship,2,0.5,0.015,2.000000,2.000000,30.76,0.000,0.000,497722,77.8
nerf_synthetic,ship,2,0.5,0.015,2.000000,3.000000,30.63,0.000,0.000,294891,46.1
nerf_synthetic,ship,2,0.5,0.015,2.000000,0.500000,30.40,0.000,0.000,827849,129.5
nerf_synthetic,ship,2,0.5,0.015,2.000000,0.300000,30.10,0.000,0.000,878308,137.4
nerf_synthetic,ship,2,0.5,0.015,3.000000,1.000000,30.42,0.000,0.000,801411,125.3
nerf_synthetic,ship,2,0.5,0.015,3.000000,2.000000,30.65,0.000,0.000,519108,81.2
nerf_synthetic,ship,2,0.5,0.015,3.000000,3.000000,30.52,0.000,0.000,305386,47.8
nerf_synthetic,ship,2,0.5,0.015,3.000000,0.500000,30.18,0.000,0.000,947624,148.2
nerf_synthetic,ship,2,0.5,0.015,3.000000,0.300000,29.94,0.000,0.000,1044352,163.3
nerf_synthetic,ship,2,0.5,0.015,4.000000,1.000000,30.23,0.000,0.000,811990,127.0
nerf_synthetic,ship,2,0.5,0.015,4.000000,2.000000,30.46,0.000,0.000,498838,78.0
nerf_synthetic,ship,2,0.5,0.015,4.000000,3.000000,27.11,0.000,0.000,329843,51.6
nerf_synthetic,ship,2,0.5,0.015,4.000000,0.500000,30.02,0.000,0.000,980915,153.4
nerf_synthetic,ship,2,0.5,0.015,4.000000,0.300000,29.76,0.000,0.000,1108345,173.3
nerf_synthetic,ship,2,0.5,0.015,0.500000,1.000000,30.49,0.000,0.000,413895,64.7
nerf_synthetic,ship,2,0.5,0.015,0.500000,2.000000,29.51,0.000,0.000,328802,51.4
nerf_synthetic,ship,2,0.5,0.015,0.500000,3.000000,29.14,0.000,0.000,195674,30.6
nerf_synthetic,ship,2,0.5,0.015,0.500000,0.500000,30.22,0.000,0.000,365477,57.2
nerf_synthetic,ship,2,0.5,0.015,0.500000,0.300000,30.13,0.000,0.000,335912,52.5
nerf_synthetic,ship,2,0.5,0.015,0.300000,1.000000,29.93,0.000,0.000,313977,49.1
nerf_synthetic,ship,2,0.5,0.015,0.300000,2.000000,28.61,0.000,0.000,251804,39.4
nerf_synthetic,ship,2,0.5,0.015,0.300000,3.000000,27.22,0.000,0.000,151785,23.7
nerf_synthetic,ship,2,0.5,0.015,0.300000,0.500000,29.80,0.000,0.000,253810,39.7
nerf_synthetic,ship,2,0.5,0.015,0.300000,0.300000,29.73,0.000,0.000,233203,36.5
nerf_synthetic,ship,2,0.5,0.02,1.000000,1.000000,30.71,0.000,0.000,549390,85.9
nerf_synthetic,ship,2,0.5,0.02,1.000000,2.000000,30.48,0.000,0.000,425632,66.6
nerf_synthetic,ship,2,0.5,0.02,1.000000,3.000000,30.15,0.000,0.000,243078,38.0
nerf_synthetic,ship,2,0.5,0.02,1.000000,0.500000,30.59,0.000,0.000,570611,89.2
nerf_synthetic,ship,2,0.5,0.02,1.000000,0.300000,30.32,0.000,0.000,557165,87.1
nerf_synthetic,ship,2,0.5,0.02,2.000000,1.000000,30.55,0.000,0.000,711594,111.3
nerf_synthetic,ship,2,0.5,0.02,2.000000,2.000000,30.70,0.000,0.000,492154,77.0
nerf_synthetic,ship,2,0.5,0.02,2.000000,3.000000,30.65,0.000,0.000,293737,45.9
nerf_synthetic,ship,2,0.5,0.02,2.000000,0.500000,30.39,0.000,0.000,813070,127.2
nerf_synthetic,ship,2,0.5,0.02,2.000000,0.300000,30.17,0.000,0.000,865387,135.3
nerf_synthetic,ship,2,0.5,0.02,3.000000,1.000000,30.39,0.000,0.000,785427,122.8
nerf_synthetic,ship,2,0.5,0.02,3.000000,2.000000,30.61,0.000,0.000,505725,79.1
nerf_synthetic,ship,2,0.5,0.02,3.000000,3.000000,29.98,0.000,0.000,294263,46.0
nerf_synthetic,ship,2,0.5,0.02,3.000000,0.500000,30.17,0.000,0.000,923572,144.5
nerf_synthetic,ship,2,0.5,0.02,3.000000,0.300000,29.90,0.000,0.000,1021828,159.8
nerf_synthetic,ship,2,0.5,0.02,4.000000,1.000000,30.25,0.000,0.000,794471,124.3
nerf_synthetic,ship,2,0.5,0.02,4.000000,2.000000,30.49,0.000,0.000,489643,76.6
nerf_synthetic,ship,2,0.5,0.02,4.000000,3.000000,27.27,0.000,0.000,323680,50.6
nerf_synthetic,ship,2,0.5,0.02,4.000000,0.500000,30.04,0.000,0.000,956733,149.6
nerf_synthetic,ship,2,0.5,0.02,4.000000,0.300000,29.77,0.000,0.000,1073002,167.8
nerf_synthetic,ship,2,0.5,0.02,0.500000,1.000000,30.47,0.000,0.000,395578,61.9
nerf_synthetic,ship,2,0.5,0.02,0.500000,2.000000,29.29,0.000,0.000,313319,49.0
nerf_synthetic,ship,2,0.5,0.02,0.500000,3.000000,28.85,0.000,0.000,183639,28.7
nerf_synthetic,ship,2,0.5,0.02,0.500000,0.500000,30.24,0.000,0.000,342239,53.5
nerf_synthetic,ship,2,0.5,0.02,0.500000,0.300000,30.09,0.000,0.000,312850,48.9
nerf_synthetic,ship,2,0.5,0.02,0.300000,1.000000,30.09,0.000,0.000,299802,46.9
nerf_synthetic,ship,2,0.5,0.02,0.300000,2.000000,28.40,0.000,0.000,238197,37.3
nerf_synthetic,ship,2,0.5,0.02,0.300000,3.000000,26.60,0.000,0.000,148604,23.2
nerf_synthetic,ship,2,0.5,0.02,0.300000,0.500000,29.69,0.000,0.000,232555,36.4
nerf_synthetic,ship,2,0.5,0.02,0.300000,0.300000,29.44,0.000,0.000,212420,33.2
nerf_synthetic,ship,2,0.5,0.007,1.000000,1.000000,30.66,0.000,0.000,597912,93.5
